Site,MIDDLE.DEPTH,DATE,CRS.ERROR
Pocket Lake,0,2014.25,0
Pocket Lake,0.25,2013.2,0.0175
Pocket Lake,1.25,2007.63,0.0698
Pocket Lake,2.25,2001.15,0.2131
Pocket Lake,3.25,1997.88,0.3136
Pocket Lake,4.25,1995.44,0.3986
Pocket Lake,5.25,1991.88,0.5316
Pocket Lake,6.25,1987.02,0.7345
Pocket Lake,8.25,1977.08,1.2884
Pocket Lake,10.25,1965.09,2.2807
Pocket Lake,12.25,1946.38,4.8536
Pocket Lake,14.25,1930.18,8.6455
Pocket Lake,16.25,1901.15,23.4957
Öjanjärvi,0,2016.38,0
Öjanjärvi,0.5,2015.83,0.1051
Öjanjärvi,1.5,2014.63,0.2779
Öjanjärvi,2.5,2013.18,0.4436
Öjanjärvi,3.5,2011.7,0.6069
Öjanjärvi,4.5,2010.17,0.7786
Öjanjärvi,6.5,2007.29,1.1232
Öjanjärvi,8.5,2005.14,1.406
Öjanjärvi,10.5,2002.89,1.7187
Öjanjärvi,12.5,2000.22,2.0951
Öjanjärvi,14.5,1996.75,2.6261
Öjanjärvi,16.5,1992.81,3.2883
Öjanjärvi,18.5,1989.18,3.9687
Öjanjärvi,24.5,1978.39,6.2871
Öjanjärvi,28.5,1967.71,9.3365
Öjanjärvi,32.5,1953.79,14.9505
Öjanjärvi,36.5,1935.27,26.9746
Öjanjärvi,40.5,1898.97,80.3954
Päiväjärvi,0,2016.38,1.1274
Päiväjärvi,0.5,2012.73,1.2612
Päiväjärvi,1.5,2003.1,2.0322
Päiväjärvi,2.5,1990.37,3.3014
Päiväjärvi,4.5,1959.91,7.9135
Päiväjärvi,6.5,1908.86,30.074
Pulmankijärvi,0,2016.27,1.8474
Pulmankijärvi,0.5,2014.64,1.8695
Pulmankijärvi,1.5,2011.15,1.9622
Pulmankijärvi,2.5,2006.23,2.2125
Pulmankijärvi,3.5,1998.44,2.8365
Pulmankijärvi,5.5,1975.2,6.3544
Pulmankijärvi,7.5,1940.37,19.1857
Pulmankijärvi,9.5,1910.1,41.3804
Vuolimus Cieskuljavri,0,2016.26,0
Vuolimus Cieskuljavri,0.5,2013.54,0.3792
Vuolimus Cieskuljavri,1.5,2007.79,0.8747
Vuolimus Cieskuljavri,2.5,2000.57,1.2357
Vuolimus Cieskuljavri,3.5,1989.01,1.765
Vuolimus Cieskuljavri,4.5,1972.23,2.4819
Vuolimus Cieskuljavri,5.5,1949.87,3.5943
Vuolimus Cieskuljavri,6.5,1911.81,7.5717
Kevojärvi,2.4,2014,1
Kevojärvi,16.5,1999,1
Kevojärvi,19.5,1994,1
Kevojärvi,26,1984,1
Kevojärvi,40.3,1968,1
Kevojärvi,48.3,1954,1
Kevojärvi,54,1939,1
Kevojärvi,61,1926,1
Kevojärvi,69.5,1909,1
Kevojärvi,85.5,1878,1
Lake Hazen,0.25,2012,0
Lake Hazen,0.75,2012,0
Lake Hazen,1.25,2011,0
Lake Hazen,1.75,2009,0
Lake Hazen,2.25,2008,0
Lake Hazen,2.75,2007,0
Lake Hazen,3.25,2007,0
Lake Hazen,3.75,2007,0
Lake Hazen,4.25,2006,0
Lake Hazen,4.75,2005,0
Lake Hazen,5.25,2004,0
Lake Hazen,5.75,2003,0
Lake Hazen,6.25,2002,0
Lake Hazen,6.75,2001,0
Lake Hazen,7.25,2000,0
Lake Hazen,7.75,1998,0
Lake Hazen,8.25,1997,0
Lake Hazen,8.75,1996,0
Lake Hazen,9.25,1995,0
Lake Hazen,9.75,1993,0
Lake Hazen,10.25,1991,0
Lake Hazen,10.75,1989,0
Lake Hazen,11.25,1985,0
Lake Hazen,11.75,1981,0
Lake Hazen,12.25,1977,0
Lake Hazen,12.75,1972,0
Lake Hazen,13.25,1966,0
Lake Hazen,13.75,1961,0
Lake Hazen,14.25,1955,0
Lake Hazen,14.75,1948,0
Lake Hazen,15.25,1942,0
Lake Hazen,15.75,1937,0
Lake Hazen,16.25,1933,0
Lake Hazen,16.75,1928,0
Lake Hazen,17.25,1921,0
Lake Hazen,17.75,1916,0
Lake Hazen,18.25,1910,0
Lake Hazen,18.75,1905,0
Lake Hazen,19.25,1899,0
Lake Hazen,19.75,1894,0
Lake Hazen,20.25,1888,0
Lake Hazen,20.75,1883,0
Lake Hazen,21.25,1877,0
Lake Hazen,21.75,1871,0
Kokemäenjoki / Harjavalta,0.5,2016,0
Kokemäenjoki / Harjavalta,1.5,2016,0
Kokemäenjoki / Harjavalta,2.5,2016,0
Kokemäenjoki / Harjavalta,3.5,2015,0
Kokemäenjoki / Harjavalta,4.5,2014,0
Kokemäenjoki / Harjavalta,6.5,2011,0
Kokemäenjoki / Harjavalta,8.5,2009,0
Kokemäenjoki / Harjavalta,10.5,2006,0
Kokemäenjoki / Harjavalta,12.5,2003,0
Kokemäenjoki / Harjavalta,14.5,1999,0
Kokemäenjoki / Harjavalta,16.5,1996,0
Kokemäenjoki / Harjavalta,18.5,1992,0
Kokemäenjoki / Harjavalta,20.5,1988,0
Kokemäenjoki / Harjavalta,24.5,1979,0
Kokemäenjoki / Harjavalta,28.5,1968,0
Kokemäenjoki / Harjavalta,32.5,1957,0
Kokemäenjoki / Harjavalta,36.5,1945,0
Kokemäenjoki / Harjavalta,40.5,1931,0
Aquatuk Lake,0.25,2009.95,0
Aquatuk Lake,1.25,2006.31,0
Aquatuk Lake,2.25,2000.76,0
Aquatuk Lake,3.25,1994.13,0.2269
Aquatuk Lake,4.25,1987.42,0.4388
Aquatuk Lake,5.25,1979.54,0.7397
Aquatuk Lake,6.25,1968.76,1.2887
Aquatuk Lake,7.25,1958.26,2.0149
Aquatuk Lake,8.25,1949.91,2.7942
Aquatuk Lake,9.25,1940.12,4.0086
Aquatuk Lake,10.25,1930.96,5.5346
Aquatuk Lake,12.25,1907.87,12.2054
